,HHID,HH_Size,URBAN,District,State_code,Combined_multiplier
363,713721202,4,0,06,17,229.66
364,713721203,8,0,06,17,229.66
365,713721204,7,0,06,17,229.66
366,713721301,4,0,06,17,1574.82
367,713721302,6,0,06,17,1574.82
368,713761101,5,0,06,17,118.09
369,713761102,7,0,06,17,118.09
370,713761201,1,0,06,17,59.04
371,713761202,1,0,06,17,59.04
372,713761203,6,0,06,17,59.04
373,713761204,6,0,06,17,59.04
374,713761301,6,0,06,17,2338.08
375,713761302,3,0,06,17,2338.08
376,713751101,3,0,06,17,140.96
377,713751102,9,0,06,17,140.96
378,713751201,6,0,06,17,331.26
379,713751202,7,0,06,17,331.26
380,713751203,6,0,06,17,331.26
381,713751204,5,0,06,17,331.26
382,713751301,6,0,06,17,197.35
383,713751302,6,0,06,17,197.35
384,713731101,5,0,06,17,93.77
385,713731102,4,0,06,17,93.77
386,713731201,6,0,06,17,365.71
387,713731202,3,0,06,17,365.71
388,713731203,6,0,06,17,365.71
389,713731204,2,0,06,17,365.71
390,713731301,3,0,06,17,778.3
391,713731302,2,0,06,17,778.3
392,713701101,4,0,06,17,46.4
393,713701201,6,0,06,17,375.84
394,713701202,3,0,06,17,375.84
395,713701301,5,0,06,17,139.2
396,713702101,6,0,06,17,185.6
397,713702201,3,0,06,17,1336.3
398,713702202,5,0,06,17,1336.3
399,713702301,5,0,06,17,556.79
400,713781101,4,0,07,17,292.89
401,713781102,5,0,07,17,292.89
402,713781201,5,0,07,17,341.71
403,713781202,5,0,07,17,341.71
404,713781203,6,0,07,17,341.71
405,713781204,6,0,07,17,341.71
406,713781301,4,0,07,17,1806.16
407,713781302,5,0,07,17,1806.16
408,713491101,6,0,07,17,113.63
409,713491102,5,0,07,17,113.63
410,713491201,6,0,07,17,187.49
411,713491202,6,0,07,17,187.49
412,713491203,4,0,07,17,187.49
413,713491204,7,0,07,17,187.49
414,713491301,8,0,07,17,1329.48
415,713491302,8,0,07,17,1329.48
416,713471101,10,0,07,17,102.36
417,713471201,8,0,07,17,56.3
418,713471202,7,0,07,17,56.3
419,713471301,6,0,07,17,614.14
420,713472101,5,0,07,17,307.07
421,713472201,6,0,07,17,122.83
422,713472202,5,0,07,17,122.83
423,713472301,3,0,07,17,1811.71
424,713441101,9,0,07,17,74.64
425,713441201,7,0,07,17,97.03
426,713441202,7,0,07,17,97.03
427,713441301,3,0,07,17,447.82
428,713442101,10,0,07,17,298.55
429,713442201,6,0,07,17,268.7
430,713442202,9,0,07,17,268.7
431,713442301,6,0,07,17,1642.01
432,713411101,5,0,01,17,261.93
433,713411102,4,0,01,17,261.93
434,713411201,3,0,01,17,392.89
435,713411202,3,0,01,17,392.89
436,713411203,4,0,01,17,392.89
437,713411204,4,0,01,17,392.89
438,713411301,7,0,01,17,2619.28
439,713411302,6,0,01,17,2619.28
440,713421101,4,0,01,17,405.67
441,713421102,7,0,01,17,405.67
442,713421201,7,0,01,17,365.1
443,713421202,4,0,01,17,365.1
444,713421203,6,0,01,17,365.1
445,713421204,3,0,01,17,365.1
446,713421301,3,0,01,17,1054.74
447,713421302,7,0,01,17,1054.74
448,713461101,5,0,01,17,224.53
449,713461102,5,0,01,17,224.53
450,713461201,5,0,01,17,224.53
451,713461202,5,0,01,17,224.53
452,713461203,7,0,01,17,224.53
453,713461204,5,0,01,17,224.53
454,713461301,8,0,01,17,1022.85
455,713461302,8,0,01,17,1022.85
456,713451101,3,0,01,17,201.97
457,713451102,4,0,01,17,201.97
458,713451201,6,0,01,17,403.93
459,713451202,3,0,01,17,403.93
460,713451203,6,0,01,17,403.93
461,713451204,3,0,01,17,403.93
462,713451301,6,0,01,17,1999.45
463,713451302,5,0,01,17,1999.45
464,713431101,9,0,01,17,172.38
465,713431201,5,0,01,17,275.81
466,713431202,5,0,01,17,275.81
467,713431301,5,0,01,17,844.65
468,713432101,4,0,01,17,344.76
469,713432201,5,0,01,17,344.76
470,713432202,4,0,01,17,344.76
471,713432301,7,0,01,17,1551.39
472,713401101,5,0,01,17,146.89
473,713401201,3,0,01,17,279.08
474,713401202,7,0,01,17,279.08
475,713401301,3,0,01,17,793.17
476,713402101,6,0,01,17,293.77
477,713402201,6,0,01,17,793.17
478,713402202,4,0,01,17,793.17
479,713402301,11,0,01,17,675.66
480,713481101,9,0,02,17,447.23
481,713481102,5,0,02,17,447.23
482,713481201,4,0,02,17,745.38
483,713481202,5,0,02,17,745.38
484,713481203,2,0,02,17,745.38
485,713481204,8,0,02,17,745.38
486,713481301,4,0,02,17,447.23
487,713481302,5,0,02,17,447.23
488,713191101,6,0,02,17,215.29
489,713191102,6,0,02,17,215.29
490,713191201,2,0,02,17,403.67
491,713191202,3,0,02,17,403.67
492,713191203,2,0,02,17,403.67
493,713191204,6,0,02,17,403.67
494,713191301,6,0,02,17,968.79
495,713191302,5,0,02,17,968.79
496,713171101,6,0,02,17,128.0
497,713171102,5,0,02,17,128.0
498,713171201,3,0,02,17,294.4
499,713171202,4,0,02,17,294.4
500,713171203,2,0,02,17,294.4
501,713171204,6,0,02,17,294.4
502,713171301,4,0,02,17,1075.19
503,713171302,5,0,02,17,1075.19
504,713141101,6,0,03,17,134.47
505,713141102,3,0,03,17,134.47
506,713141201,3,0,03,17,134.47
507,713141202,8,0,03,17,134.47
508,713141203,10,0,03,17,134.47
509,713141204,5,0,03,17,134.47
510,713141301,10,0,03,17,537.86
511,713141302,11,0,03,17,537.86
512,713111101,4,0,03,17,90.31
513,713111102,4,0,03,17,90.31
514,713111103,4,0,03,17,90.31
515,713111104,3,0,03,17,90.31
516,713111201,2,0,03,17,885.04
517,713111202,8,0,03,17,885.04
518,713111203,4,0,03,17,885.04
519,713111204,3,0,03,17,885.04
520,713121101,5,0,04,17,515.54
521,713121102,6,0,04,17,515.54
522,713121201,5,0,04,17,386.65
523,713121202,6,0,04,17,386.65
524,713121203,7,0,04,17,386.65
525,713121204,6,0,04,17,386.65
526,713121301,5,0,04,17,1031.07
527,713121302,4,0,04,17,1031.07
528,713161101,3,0,04,17,140.91
529,713161102,8,0,04,17,140.91
530,713161201,8,0,04,17,150.98
531,713161202,5,0,04,17,150.98
532,713161203,5,0,04,17,150.98
533,713161204,3,0,04,17,150.98
534,713161301,5,0,04,17,1127.28
535,713161302,10,0,04,17,1127.28
536,713151101,6,0,04,17,137.24
537,713151102,4,0,04,17,137.24
538,713151201,4,0,04,17,152.49
539,713151202,4,0,04,17,152.49
540,713151203,6,0,04,17,152.49
541,713151204,5,0,04,17,152.49
542,713151301,4,0,04,17,1143.63
543,713151302,3,0,04,17,1143.63
544,713131101,2,0,04,17,63.67
545,713131102,9,0,04,17,63.67
546,713131201,4,0,04,17,63.67
547,713131202,4,0,04,17,63.67
548,713131203,11,0,04,17,63.67
549,713131204,3,0,04,17,63.67
550,713131301,8,0,04,17,1409.68
551,713131302,9,0,04,17,1409.68
552,713101101,3,0,05,17,115.17
553,713101102,6,0,05,17,115.17
554,713101103,5,0,05,17,115.17
555,713101104,7,0,05,17,115.17
556,713101105,10,0,05,17,115.17
557,713101201,7,0,05,17,57.59
558,713101301,7,0,05,17,1526.03
559,713101302,7,0,05,17,1526.03
560,713181101,4,0,05,17,96.0
561,713181102,5,0,05,17,96.0
562,713181201,4,0,05,17,267.44
563,713181202,7,0,05,17,267.44
564,713181203,5,0,05,17,267.44
565,713181204,3,0,05,17,267.44
566,713181301,2,0,05,17,1083.46
567,713181302,5,0,05,17,1083.46
568,713291101,3,0,05,17,167.49
569,713291201,7,0,05,17,427.08
570,713291202,3,0,05,17,427.08
571,713291301,5,0,05,17,485.7
572,713292101,5,0,05,17,334.97
573,713292201,5,0,05,17,602.94
574,713292202,5,0,05,17,602.94
575,713292301,2,0,05,17,870.92
576,713271101,9,0,06,17,342.15
577,713271102,4,0,06,17,342.15
578,713271201,6,0,06,17,228.1
579,713271202,1,0,06,17,228.1
580,713271203,10,0,06,17,228.1
581,713271204,3,0,06,17,228.1
582,713271301,1,0,06,17,1368.59
583,713271302,4,0,06,17,1368.59
584,713241101,5,0,06,17,184.55
585,713241102,4,0,06,17,184.55
586,713241201,4,0,06,17,369.11
587,713241202,3,0,06,17,369.11
588,713241203,4,0,06,17,369.11
589,713241204,5,0,06,17,369.11
590,713241301,7,0,06,17,1028.22
591,713241302,5,0,06,17,1028.22
592,713211101,9,0,06,17,70.59
593,713211102,3,0,06,17,70.59
594,713211103,7,0,06,17,70.59
595,713211104,3,0,06,17,70.59
596,713211201,4,0,06,17,1284.62
597,713211202,4,0,06,17,1284.62
598,713211203,5,0,06,17,1284.62
599,713211204,8,0,06,17,1284.62
600,713221101,6,0,06,17,97.25
601,713221102,4,0,06,17,97.25
602,713221201,4,0,06,17,252.85
603,713221202,8,0,06,17,252.85
604,713221203,4,0,06,17,252.85
605,713221204,4,0,06,17,252.85
606,713221301,4,0,06,17,1517.07
607,713221302,5,0,06,17,1517.07
608,713261101,4,0,06,17,9.97
609,713261102,6,0,06,17,9.97
610,713261201,5,0,06,17,78.73
611,713261202,4,0,06,17,78.73
612,713262101,6,0,06,17,259.11
613,713262102,5,0,06,17,259.11
614,713262201,4,0,06,17,1321.45
